loss	d_loss	rec_loss	
3.427494	1.463515	1.963979	
3.429021	1.463475	1.965546	
3.427742	1.463488	1.964254	
3.425176	1.463456	1.961721	
3.426970	1.463469	1.963501	
3.424840	1.463478	1.961362	
3.425316	1.463408	1.961909	
3.424849	1.463395	1.961454	
3.424777	1.463406	1.961371	
3.423553	1.463388	1.960166	
3.425642	1.463296	1.962347	
3.422236	1.463353	1.958883	
3.423167	1.463406	1.959762	
3.422864	1.463341	1.959522	
3.421787	1.463354	1.958433	
3.421976	1.463401	1.958575	
3.421811	1.463330	1.958481	
3.420702	1.463367	1.957334	
3.418514	1.463375	1.955139	
3.419819	1.463308	1.956511	
3.417179	1.463331	1.953848	
3.417006	1.463435	1.953572	
3.416700	1.463287	1.953412	
3.416575	1.463249	1.953326	
3.418010	1.463317	1.954693	
3.416579	1.463249	1.953331	
3.417600	1.463210	1.954390	
3.415464	1.463254	1.952210	
3.414831	1.463349	1.951482	
3.414259	1.463409	1.950850	
3.413354	1.463275	1.950079	
3.412446	1.463189	1.949257	
3.411937	1.463345	1.948592	
3.413131	1.463169	1.949962	
3.412213	1.463345	1.948868	
3.410871	1.463220	1.947650	
3.412616	1.463197	1.949419	
3.411754	1.463259	1.948495	
3.409694	1.463181	1.946512	
3.408213	1.463210	1.945003	
3.409425	1.463259	1.946166	
3.409188	1.463137	1.946050	
3.408213	1.463271	1.944942	
3.407377	1.463113	1.944263	
3.405969	1.463215	1.942754	
3.407272	1.463206	1.944067	
3.406945	1.463237	1.943709	
3.405934	1.463199	1.942735	
3.408184	1.463157	1.945027	
3.402974	1.463136	1.939838	
3.404931	1.463212	1.941719	
3.407472	1.463081	1.944391	
3.402532	1.463076	1.939456	
3.402739	1.463126	1.939613	
3.403223	1.463074	1.940149	
3.401473	1.463068	1.938404	
3.401679	1.463066	1.938612	
3.401335	1.463056	1.938279	
3.403342	1.463217	1.940125	
3.401389	1.463080	1.938309	
3.400547	1.463120	1.937427	
3.399583	1.463053	1.936529	
3.398967	1.463057	1.935910	
3.399376	1.463050	1.936326	
3.397660	1.463020	1.934640	
3.398767	1.463099	1.935667	
3.397755	1.463000	1.934755	
3.394997	1.463080	1.931917	
3.397715	1.463019	1.934697	
